MTS,UCS,UTS,SR,B1,B2,Wet,Class
53,147.2,7.18,0.36,20.5,0.91,5,2
16.4,157.34,10.55,0.1,14.91,0.87,4.26,2
16.4,155.63,10.42,0.11,14.94,0.87,4.2,2
50.28,94.7,5.26,0.53,18.01,0.89,2.96,2
44.8,94.7,5.26,0.47,18.01,0.89,2.96,2
48,94.7,5.26,0.51,18.01,0.89,2.96,2
53.4,94.7,5.26,0.56,18.01,0.89,2.96,2
54.9,94.7,5.26,0.58,18.01,0.89,2.96,2
50.9,160,7.5,0.32,21.3,0.91,5.3,2
48,120,1.5,0.4,80,0.98,5.8,2
49.5,110,1.5,0.45,73.33,0.97,5.7,2
63,115,1.5,0.55,76.67,0.97,5.7,2
17.39,102.3,1.3,0.17,78.69,0.97,6.58,2
17.02,85.09,1.3,0.2,65.45,0.97,6.14,2
16.7,83.5,1.3,0.2,64.23,0.97,6.53,2
17.35,86.77,1.3,0.2,66.75,0.97,3.22,2
16.87,80.33,1.3,0.21,61.79,0.97,6.92,2
17.08,94.9,1.3,0.18,73,0.97,6.91,2
11,115,5,0.1,23,0.92,5.7,0
18.8,178,5.7,0.11,31.23,0.94,7.4,0
34,150,5.4,0.23,27.78,0.93,7.8,0
21.5,107.52,2.98,0.2,36.04,0.95,2.29,0
18.32,96.41,2.01,0.19,47.93,0.96,1.87,0
15.97,114.07,11.96,0.14,9.54,0.81,2.4,0
19.14,106.31,11.96,0.18,8.89,0.8,2.07,0
12.96,117.81,11.96,0.11,9.85,0.82,2.49,0
29.09,138.5,11.96,0.21,11.58,0.84,2.77,0
9.74,88.51,2.98,0.11,29.7,0.93,1.77,0
11.75,83.96,2.98,0.14,28.17,0.93,2.15,0
7.28,52,3.7,0.14,14.05,0.87,1.3,0
9.57,99.7,4.8,0.1,20.77,0.91,3.8,0
2.6,20,3,0.13,6.67,0.74,1.39,0
3.8,20,3,0.19,6.67,0.74,1.39,0
4.6,20,3,0.23,6.67,0.74,1.39,0
15.2,53.8,5.56,0.28,9.68,0.81,1.92,0
32.3,67.4,6.7,0.48,10.1,0.82,1.1,0
18.8,171.5,6.3,0.11,27.22,0.93,7,0
38.2,53,3.9,0.72,13.59,0.86,1.6,0
11.3,90,4.8,0.13,18.75,0.9,3.6,0
11,105,4.9,0.1,21.43,0.91,4.7,0
13.9,124,4.22,0.11,29.4,0.93,2.04,0
18.7,81.2,10.6,0.23,7.66,0.77,1.5,0
23.6,82.8,11.2,0.29,7.39,0.76,1.5,0
28.6,123.6,11.5,0.23,10.75,0.83,2.5,0
72,120.5,14.9,0.6,8.09,0.78,2.5,0
29.8,132.2,7.8,0.23,16.95,0.89,4.6,0
44.6,130.5,11.09,0.34,11.77,0.84,4.6,0
29.04,124.15,5,0.23,24.83,0.92,4.39,0
40.87,139,6,0.29,23.17,0.92,0.81,0
22.93,88.25,3.6,0.26,24.51,0.92,0.81,0
77.69,74.04,8.96,1.05,8.26,0.78,1.33,0
25.7,59.7,1.3,0.43,45.9,0.96,1.7,0
27.8,90,2.1,0.31,42.8,0.95,1.8,0
12,30,5.58,0.4,5.38,0.69,5.1,0
50.28,59,5.23,0.85,11.28,0.84,0.88,0
44.8,59,5.23,0.76,11.28,0.84,0.88,0
48,59,5.23,0.81,11.28,0.84,0.88,0
53.4,59,5.23,0.91,11.28,0.84,0.88,0
54.9,59,5.23,0.93,11.28,0.84,0.88,0
12,85,3.6,0.14,23.61,0.92,1.5,0
20,112,4.7,0.18,23.83,0.92,2.5,0
